fiNum;fiDiasPermanencia;fnTasaRecuperacion;fnTasaLiquidacion;fnAforoUtilizado;fnInteresOrdinario;fnColocacionAnual;fnYield;
708504;309;0.9300;0.7500;0.9600;680.00;;1.1567;
2623413;93;0.6700;0.0000;0.9200;182.00;;;
1895476;57;0.0000;0.0000;0.9200;;;;
1867649;437;0.6900;0.0000;0.8800;453.00;;;
80072;57;0.0000;0.0000;0.9200;;;;
2838640;910;1.0000;1.0000;0.9300;3458.00;;0.7890;
1961237;55;1.0000;1.0000;0.6600;3482.00;;0.0928;
1033500;27;1.0000;1.0000;0.9200;91.00;;0.1034;
2653530;57;0.0000;0.0000;0.9300;;;;
636242;2;;;0.9300;;;;
1991493;5;;;0.9300;;;;
1869605;57;0.0000;0.0000;0.9200;;;;
139024;189;0.8000;0.0000;0.9200;436.00;;;
2997347;692;0.7000;0.2200;0.9200;3761.00;;0.1480;
2246399;174;1.0000;1.0000;0.9100;156.00;;0.2737;
1197335;40;1.0000;1.0000;0.9200;239.00;;0.1374;
1992579;182;0.0000;0.0000;0.9200;0.00;;;
816636;1114;1.0000;1.0000;0.8900;620.00;;0.1438;
2473057;72;0.0000;0.0000;0.9000;;;;
1238630;298;1.0000;1.0000;0.8700;923.00;;0.8414;
2256515;64;0.0000;0.0000;0.9200;;;;
1170428;313;0.5600;0.2000;0.8000;3852.00;;0.3908;
2473422;1;;;0.9300;;;;
2645368;1;;;0.9200;;;;
2046319;17;1.0000;1.0000;0.9200;101.00;;0.0863;
1689512;1152;0.9800;0.6700;0.8900;1290.00;;0.6056;
263117;57;0.0000;0.0000;0.8600;;;;
2015013;235;0.8600;0.5000;0.9700;1154.00;;0.7562;
259966;2;;;0.9300;;;;
349908;72;1.0000;;0.8600;615.00;5920.00;0.1039;
2274839;160;1.0000;1.0000;0.9800;1202.00;;1.0709;
1263829;531;1.0000;1.0000;0.9100;1547.00;;0.6206;
2900452;1412;0.8800;0.7200;0.9200;4078.00;;1.8983;
1931467;57;0.0000;0.0000;0.9200;;;;
2651959;731;1.0000;1.0000;0.8900;2697.00;;0.3615;
1925199;1037;0.9400;0.3300;0.9100;1112.00;;;
2196261;65;1.0000;1.0000;0.9200;578.00;;0.2269;
1911385;385;1.0000;1.0000;0.9600;1299.00;;1.4444;
792091;1;;;0.9200;;;;
1586341;2;1.0000;1.0000;0.0700;6.00;;0.0200;
465891;670;1.0000;1.0000;1.0300;1720.00;7510.00;0.5231;
2265988;267;0.8100;0.5000;1.0000;1188.00;;1.1896;
2011228;311;1.0000;1.0000;0.8900;250.00;;1.0389;
2375775;2;;;0.9300;;;;
2607057;158;0.0000;0.0000;0.9200;;;;
2684848;75;0.0000;0.0000;0.9300;;;;
2987420;2549;0.9900;0.8000;0.9800;4298.00;;1.1798;
2374555;423;0.8300;0.0000;0.9300;911.00;;;
66117;1;;;0.9000;;400.00;;
1948830;145;0.6700;0.0000;0.9300;176.00;3600.00;;
2925272;278;0.9100;0.6700;0.9200;4022.00;;0.9006;
226091;3;;;0.9300;;;;
2528687;2648;0.9700;0.7700;0.9300;1728.00;;0.7752;
68202;3;1.0000;1.0000;0.7400;24.00;;;
850538;71;0.5000;0.0000;0.9200;63.00;;;
1182405;2;;;0.9300;;;;
1980351;207;1.0000;;0.8600;421.00;2280.00;0.1846;
1122649;1;;;0.9300;;;;
2650238;36;0.0000;0.0000;0.9200;;;;
206711;1;;;0.9300;;;;
729509;495;0.8200;0.5700;1.0200;1025.00;;1.3038;
2072830;723;1.0000;1.0000;0.9100;15247.00;;0.4931;
2719205;764;1.0000;1.0000;0.9600;605.00;;0.5079;
1092503;958;0.9700;0.0000;0.9200;456.00;;;
2160876;183;0.8300;0.5000;0.9400;209.00;;0.2687;
2112192;15;1.0000;;0.8600;3.00;39750.00;0.0001;
2708080;175;1.0000;1.0000;1.1100;2226.00;22920.00;0.5185;
782827;1;;;0.9100;;520.00;;
2941443;57;0.0000;0.0000;0.9200;;;;
2359993;1;;;0.9300;;;;
312595;213;1.0000;1.0000;1.0000;12626.00;35670.00;1.0359;
2252644;2193;0.9900;0.9700;1.1600;7203.00;35700.00;1.5179;
2183913;193;1.0000;1.0000;0.9100;292.00;;0.2433;
188727;1;;;0.9300;;;;
1981102;1;;;0.9300;;;;
2848598;2341;1.0000;1.0000;1.1200;20507.00;35640.00;1.3636;
2482369;7;1.0000;1.0000;0.9200;35.00;;0.0222;
457691;170;0.8000;0.0000;0.9300;260.00;;;
364128;1;;;0.9300;;;;
1963492;149;0.7500;0.0000;0.9200;198.00;;;
2037795;1600;0.9100;0.7400;1.1700;3404.00;;5.7732;
1085986;69;0.5000;0.3300;0.9200;70.00;;;
2143834;88;0.5000;0.0000;0.9300;112.00;;;
2699350;584;0.9500;0.0000;0.9200;3042.00;;;
43154;1;;;0.9300;;;;
2386784;1;;;0.9300;;;;
3055288;25;1.0000;;0.8600;421.00;2010.00;0.2652;
102804;936;1.0000;1.0000;0.9400;19960.00;;0.9228;
1876742;348;0.5000;0.1500;0.9000;1622.00;;0.7696;
2013682;64;0.0000;0.0000;1.0900;;650.00;;
2325608;56;1.0000;1.0000;0.9200;2256.00;;0.1985;
1127769;378;0.9100;0.5000;0.8800;1131.00;;0.2246;
1669702;64;0.5000;0.5000;0.9200;99.00;;0.0258;
2993300;404;0.9200;0.5000;0.9300;7602.00;1600.00;1.1688;
404915;57;0.0000;0.0000;0.8700;;;;
2688319;599;1.0000;1.0000;1.0000;3842.00;2180.00;1.5837;
412762;64;0.0000;0.0000;0.9100;;;;
3049367;151;0.8000;0.7500;0.9300;664.00;;0.3528;
2056841;1;;;0.9200;;;;
17584;874;1.0000;1.0000;0.9800;674.00;3700.00;0.5791;
366034;267;1.0000;1.0000;0.9000;149.00;;0.4350;
1165419;1;;;0.9100;;;;
